證券代碼,年月日,收盤價(元),流通在外股數(千股),成交量(千股)
T2005Y 日盛精選五虎,2017/04/26,29.24,"26,096",0
T2006Y 日盛高科技,2017/04/26,10.51,"51,840",0
T2501Y 永豐永豐,2017/04/26,27.67,"65,231",0
T2506Y 永豐中小,2017/04/26,37.54,"29,027",0
T2520Y 永豐領航科技,2017/04/26,27.3,"22,399",0
T3714Y 國泰小龍,2017/04/26,14.2,"580,768",0
T4720Y 台新2000高科,2017/04/26,25.47,"30,142",0
TDRIN 臺指反向,2017/04/26,"8,071.86",0,0
TDRL2 臺指兩倍,2017/04/26,"14,148.17",0,0
TF001 台灣高股息指數,2017/04/26,"5,771.17","71,502,361","229,973"
TF002 高股(TR),2017/04/26,"10,812.16","71,502,361","229,973"
TF003 台灣發達指數,2017/04/26,"8,553.88","179,820,128","388,707"
TF004 發達報酬,2017/04/26,"12,853.29","179,820,128","388,707"
TLHD 低波動高股息指數,2017/04/26,"1,432.63","115,358,363","268,907"
TLHDR 低波動高股息報酬指數,2017/04/26,"3,088.89","115,358,363","268,907"
TM100 台灣中型指數,2017/04/26,"6,861.17","135,646,378","613,285"
TPCGI 櫃買治理,2017/04/26,97.48,"11,814,889","59,575"
TPCGR 櫃 CG TR,2017/04/26,104.36,"11,814,889","59,575"
TPCI 櫃買薪酬,2017/04/26,82.6,"8,818,384","65,997"
TPCIR 櫃薪TR,2017/04/26,88.21,"8,818,384","65,997"
TR100 中型TR,2017/04/26,"10,641.05","135,646,378","613,285"
TRI50 T50 報酬指數,2017/04/26,"12,387.36","356,037,871","789,785"
TRTEJ 大盤TR,2017/04/26,"17,525.89","690,499,425","4,714,162"
TT999 TEJ 台灣100 指數,2017/04/26,"2,302.41","348,920,754","724,808"
TWN50 台灣50指數,2017/04/26,"7,429.73","356,037,871","789,785"
WIT01 資科指數,2017/04/26,"8,794.34","121,441,730","643,434"
WIT02 資科TR,2017/04/26,"13,942.60","121,441,730","643,434"
Y1100 水泥窯業,2017/04/26,463.38,"13,773,501","16,635"
Y1200 食品類,2017/04/26,"1,428.34","12,338,104","17,213"
Y1300 塑膠化工,2017/04/26,866.44,"53,579,744","95,350"
Y1400 紡纖,2017/04/26,490.39,"19,958,568","20,649"
Y1600 機電類,2017/04/26,"2,279.14","261,036,631","1,472,386"
Y1900 造紙類,2017/04/26,209.66,"5,789,457","15,361"
Y2500 營建,2017/04/26,264.36,"23,023,248","34,857"
Y2800 金融類,2017/04/26,"1,100.36","200,964,127","355,288"
Y5555 不含電子,2017/04/26,"13,561.52","448,989,075","771,625"
Y5556 不含電子報酬,2017/04/26,"25,238.33","448,989,075","771,625"
Y8886 未含金電,2017/04/26,"11,699.16","248,024,948","428,674"
Y8887 TR未金電,2017/04/26,"19,332.61","248,024,948","428,674"
Y8888 不含金融,2017/04/26,"8,370.12","489,535,298","1,835,415"
Y9997 報酬指數,2017/04/26,"16,250.31",0,0
Y9998 TEJ 大盤,2017/04/26,"9,856.45","690,499,425","2,190,704"
Y9999 加權指數,2017/04/26,"9,856.45","690,499,425","4,714,162"
YA999 加權ADJ,2017/04/26,"9,856.45",0,0
Z50TR 富櫃50報酬指數,2017/04/26,190.14,"10,926,986","72,424"
ZGT50 富櫃50指數,2017/04/26,150.51,"10,926,986","72,424"
