證券代碼,年月日,收盤價(元),流通在外股數(千股),成交量(千股)
1615 大山,2017/04/26,11,"111,861",9
1616 億泰,2017/04/26,5.8,"194,148",155
1617 榮星,2017/04/26,8.82,"144,233",25
1618 合機,2017/04/26,8.18,"240,864",104
1626 艾美特-KY,2017/04/26,29.6,"122,843",424
1701 中化,2017/04/26,18.5,"298,081",102
1702 南僑,2017/04/26,60.3,"294,132",649
1704 榮化,2017/04/26,43.55,"856,009","2,041"
1707 葡萄王,2017/04/26,193,"135,214",611
17071 葡萄王一,2017/04/26,123.95,"1,732",0
1708 東鹼,2017/04/26,29,"191,855",377
1709 和益,2017/04/26,20.35,"459,133",927
17091 和益一,2017/04/26,152,"3,077",18
1710 東聯,2017/04/26,22.15,"885,703","1,322"
1711 永光,2017/04/26,19.8,"547,752",364
1712 興農,2017/04/26,15.7,"370,327",443
17121 興農一,2017/04/26,112.15,"6,757",0
1713 國化,2017/04/26,17.05,"150,951",134
1714 和桐,2017/04/26,8.93,"987,207","1,217"
1715 萬洲,2017/04/26,10.55,"408,851",49
171501 萬洲E1,2017/04/26,106.85,"2,000",0
17152 萬洲二,2017/04/26,99.6,104,0
17153 萬洲三,2017/04/26,101,"7,000",0
1717 長興,2017/04/26,32.3,"1,103,942",641
1718 中纖,2017/04/26,8.04,"1,429,493","2,554"
1720 生達,2017/04/26,32.9,"178,696",103
1721 三晃,2017/04/26,15.7,"222,347",299
1722 台肥,2017/04/26,41.1,"980,000",785
1723 中碳,2017/04/26,119.5,"236,904",150
1724 台硝,2017/04/26,16.8,"127,813",57
1725 元禎,2017/04/26,14.4,"181,829",16
1726 永記,2017/04/26,81.6,"162,000",8
1727 中華化,2017/04/26,13.7,"110,250",53
1729 必翔,2017/04/26,61.5,"184,424",69
1730 花仙子,2017/04/26,38.65,"56,981",62
17301 花仙子一,2017/04/26,117,"2,000",0
1731 美吾華,2017/04/26,14,"132,915",66
1732 毛寶,2017/04/26,12.45,"42,443",46
1733 五鼎,2017/04/26,39,"99,726",319
17332 五鼎二,2017/04/26,103.45,"3,447",3
1734 杏輝,2017/04/26,22.95,"167,722",110
1735 日勝化,2017/04/26,12.8,"99,388",33
1736 喬山,2017/04/26,42.7,"304,016",65
1737 臺鹽,2017/04/26,30.3,"200,000",121
1742 台蠟,2017/04/26,11.15,"72,240",122
1752 南光,2017/04/26,39.9,"100,988",221
1760 寶齡,2017/04/26,73.72,"61,944",28
1762 中化生,2017/04/26,26.05,"77,560",33
1773 勝一,2017/04/26,63.1,"150,000",95
1776 展宇,2017/04/26,22.4,"69,560",17
1777 生泰,2017/04/26,91.4,"30,059",14
1780 立弘,2017/04/26,18.1,"94,600",26
1781 合世,2017/04/26,16.4,"47,407",54
1783 和康生,2017/04/26,21.35,"70,847",87
1784 訊聯,2017/04/26,27.2,"49,688",17
1785 光洋科,2017/04/26,11.5,"405,532",612
1786 科妍,2017/04/26,46,"53,500",45
1787 福盈科,2017/04/26,25.1,"72,004",160
1788 杏昌,2017/04/26,96.7,"35,000",7
1789 神隆,2017/04/26,41.4,"760,326",317
1795 美時,2017/04/26,53,"238,491",170
1796 金穎生技,2017/04/26,86.88,"24,956",35
1799 易威,2017/04/26,22.45,"83,627",94
17991 易威一,2017/04/26,115,"1,080",0
1802 台玻,2017/04/26,15.5,"2,908,060",664
1805 寶徠,2017/04/26,12.7,"80,265","1,078"
1806 冠軍,2017/04/26,7.74,"437,335",239
1808 潤隆,2017/04/26,47.3,"243,355",375
18083 潤隆三,2017/04/26,207,"12,555",0
1809 中釉,2017/04/26,12.05,"167,041","1,530"
1810 和成,2017/04/26,9.14,"369,853",187
1813 寶利徠,2017/04/26,23.3,"46,635",11
1814 東光訊,2017/04/26,10.58,"39,959",0
1815 富喬,2017/04/26,15.35,"437,128","2,532"
18154 富喬四,2017/04/26,130,195,0
1817 凱撒衛,2017/04/26,38,"72,600",42
1818 願景,2017/04/26,8.97,"44,726",12
1819 豐鼎,2017/04/26,13.9,"26,104",0
1902 台紙,2017/04/26,13.25,"402,000",325
1903 士紙,2017/04/26,33.4,"260,039",10
1904 正隆,2017/04/26,15.05,"1,108,274","2,679"
1905 華紙,2017/04/26,10.25,"1,102,835",667
1906 寶隆,2017/04/26,23.95,"151,000",500
1907 永豐餘,2017/04/26,11.1,"1,660,371",860
1909 榮成,2017/04/26,27.9,"1,104,938","10,317"
19093 榮成三,2017/04/26,182,810,0
2002 中鋼,2017/04/26,24.9,"15,734,860","18,350"
2002A 中鋼特,2017/04/26,42.6,"38,267",12
2006 東和鋼鐵,2017/04/26,24.3,"998,221","1,196"
20066 東和鋼鐵六,2017/04/26,106.5,"1,326",31
2007 燁興,2017/04/26,4.83,"630,651",55
2008 高興昌,2017/04/26,10.7,"223,152",17
2009 第一銅,2017/04/26,9.3,"359,622",530
2010 春源,2017/04/26,12,"647,655",147
2012 春雨,2017/04/26,13.75,"287,774",72
2013 中鋼構,2017/04/26,21.2,"200,000",81
2014 中鴻,2017/04/26,9.2,"1,435,544","4,679"
2015 豐興,2017/04/26,50.9,"581,599",175
2017 官田鋼,2017/04/26,9.7,"327,145",215
2020 美亞,2017/04/26,13.4,"236,526",30
2022 聚亨,2017/04/26,5.35,"547,091",425
2023 燁輝,2017/04/26,12.8,"1,718,090","4,389"
2024 志聯,2017/04/26,9.14,"97,500",343
2025 千興,2017/04/26,3.2,"322,834",212
2027 大成鋼,2017/04/26,16.75,"831,141",193
2028 威致,2017/04/26,7.15,"325,714",265
2029 盛餘,2017/04/26,34.35,"321,180",597
2030 彰源,2017/04/26,11.25,"286,526","1,090"
2031 新光鋼,2017/04/26,22.95,"306,193","4,315"
2032 新鋼,2017/04/26,10.1,"130,521",82
2033 佳大,2017/04/26,9.32,"80,694",11
2034 允強,2017/04/26,24.05,"407,130","1,406"
2035 唐榮,2017/04/26,49.4,"350,000",0
2038 海光,2017/04/26,8.06,"172,632",177
2049 上銀,2017/04/26,192,"274,664","3,612"
2059 川湖,2017/04/26,462.5,"95,297",361
2061 風青,2017/04/26,9.18,"62,075",125
2062 橋椿,2017/04/26,46.2,"163,720","1,958"
2063 世鎧,2017/04/26,28.55,"45,000",7
2064 晉椿,2017/04/26,19.45,"70,000",16
2065 世豐,2017/04/26,37.4,"32,679",227
2066 世德,2017/04/26,103,"36,502",30
2067 嘉鋼,2017/04/26,12.5,"36,866",7
2069 運錩,2017/04/26,26.9,"132,917",296
20691 運錩一,2017/04/26,151,"1,937",0
20692 運錩二,2017/04/26,177,204,0
2070 精湛,2017/04/26,66.8,"29,348",4
2101 南港,2017/04/26,28.9,"833,934",457
2102 泰豐,2017/04/26,13.85,"473,329",808
2103 台橡,2017/04/26,33.8,"825,709",697
2104 中橡,2017/04/26,30.65,"598,654",862
2105 正新,2017/04/26,62.1,"3,241,415","3,150"
2106 建大,2017/04/26,48.7,"874,430",272
2107 厚生,2017/04/26,17.05,"422,222",359
2108 南帝,2017/04/26,23.55,"446,636",389
2109 華豐,2017/04/26,10.95,"332,349",245
2114 鑫永銓,2017/04/26,71.9,"67,525",59
2115 六暉-KY,2017/04/26,55.4,"74,494",97
21151 六暉一KY,2017/04/26,107,"4,000",11
2201 裕隆,2017/04/26,27.3,"1,572,919",936
2204 中華,2017/04/26,27.4,"1,384,050","1,144"
2206 三陽工業,2017/04/26,21.45,"880,044",954
2207 和泰車,2017/04/26,349,"546,179",245
2208 台船,2017/04/26,13.9,"743,565",435
2221 大甲,2017/04/26,23.85,"42,425",182
2227 裕日車,2017/04/26,228.5,"300,000",138
2228 劍麟,2017/04/26,160,"75,758",188
22281 劍麟一,2017/04/26,120,28,0
2230 泰茂,2017/04/26,13.3,"39,617",20
22301 泰茂一,2017/04/26,103.55,750,0
22302 泰茂二,2017/04/26,104.05,750,0
22303 泰茂三,2017/04/26,100,500,7
2231 為升,2017/04/26,326,"91,985","2,372"
22312 為升二,2017/04/26,116,"7,000",36
2233 宇隆,2017/04/26,104,"49,214",477
2235 謚源,2017/04/26,126.5,"31,878",2
2236 百達-KY,2017/04/26,64.5,"37,562",247
22361 百達一KY,2017/04/26,114,"2,500",0
2237 華德動,2017/04/26,12.22,"40,000",47
2239 英利-KY,2017/04/26,155,"110,000",118
22391 英利一KY,2017/04/26,105.65,"11,000",75
2241 艾姆勒,2017/04/26,41.67,"60,694",447
2245 詠勝昌,2017/04/26,64.19,"13,500",87
2301 光寶科,2017/04/26,53.2,"2,350,867","5,355"
2302 麗正,2017/04/26,6.07,"166,302",277
2303 聯電,2017/04/26,12.1,"12,624,318","23,540"
2305 全友,2017/04/26,7.5,"205,660",123
2308 台達電,2017/04/26,173,"2,597,543","7,154"
2311 日月光,2017/04/26,38.25,"8,277,476","9,261"
2312 金寶,2017/04/26,11.5,"1,455,657","1,144"
2313 華通,2017/04/26,21.8,"1,191,820","21,376"
2314 台揚,2017/04/26,29.4,"215,168","4,479"
23142 台揚二,2017/04/26,116.5,"3,498",17
2316 楠梓電,2017/04/26,18.4,"281,004",898
2317 鴻海,2017/04/26,98.2,"17,328,738","39,698"
2321 東訊,2017/04/26,2.98,"297,331",107
2323 中環,2017/04/26,3.75,"1,877,871","1,874"
2324 仁寶,2017/04/26,20.4,"4,422,464","10,847"
2325 矽品,2017/04/26,49.5,"3,116,361","2,116"
2327 國巨,2017/04/26,102.5,"503,600","4,701"
2328 廣宇,2017/04/26,28.3,"518,346","10,260"
2329 華泰,2017/04/26,9.96,"806,015",583
2330 台積電,2017/04/26,191,"25,930,380","31,119"
2331 精英,2017/04/26,20,"557,402","1,320"
2332 友訊,2017/04/26,12.65,"651,996","9,041"
233201 友訊E1,2017/04/26,104.75,"11,922",490
2337 旺宏,2017/04/26,13.5,"3,671,002","18,615"
2338 光罩,2017/04/26,16.15,"252,713","5,790"
2340 光磊,2017/04/26,17.9,"546,918","8,229"
2342 茂矽,2017/04/26,4.01,"372,254",378
2344 華邦電,2017/04/26,17.4,"3,580,000","115,924"
2345 智邦,2017/04/26,69.3,"546,585","7,688"
2347 聯強,2017/04/26,33,"1,667,946","2,503"
2348 海悅,2017/04/26,17.4,"85,600",4
2349 錸德,2017/04/26,5.12,"1,766,792","3,369"
2351 順德,2017/04/26,45.6,"182,140",874
2352 佳世達,2017/04/26,19,"1,966,781","10,443"
2353 宏碁,2017/04/26,14.45,"3,080,732","7,486"
2354 鴻準,2017/04/26,89.9,"1,414,485","6,930"
2355 敬鵬,2017/04/26,60.4,"397,495",702
2356 英業達,2017/04/26,22.3,"3,587,475","10,367"
2357 華碩,2017/04/26,300,"742,760","1,622"
2358 廷鑫,2017/04/26,14.8,"49,616",92
2359 所羅門,2017/04/26,17.9,"171,471","1,715"
2360 致茂,2017/04/26,93.9,"405,090","2,336"
23602 致茂二,2017/04/26,135.8,"4,453",310
2362 藍天,2017/04/26,27.7,"683,163",331
2363 矽統,2017/04/26,6.8,"560,062",539
2364 倫飛,2017/04/26,2.65,"143,931",43
2365 昆盈,2017/04/26,9.13,"277,038",210
2367 燿華,2017/04/26,11.2,"540,028","3,859"
23671 燿華一,2017/04/26,114,"5,000",11
23672 燿華二,2017/04/26,115,"1,999",4
2368 金像電,2017/04/26,11,"552,246","1,343"
2369 菱生,2017/04/26,14.25,"380,102","7,931"
2371 大同,2017/04/26,11.4,"2,339,536","23,575"
2373 震旦行,2017/04/26,57.7,"337,432",215
2374 佳能,2017/04/26,19.95,"282,458","1,175"
2375 智寶,2017/04/26,24.7,"91,518","1,528"
2376 技嘉,2017/04/26,39.95,"629,117","2,636"
2377 微星,2017/04/26,60.9,"844,856","5,625"
2379 瑞昱,2017/04/26,100.5,"504,951","4,304"
2380 虹光,2017/04/26,7.1,"208,220",393
2382 廣達,2017/04/26,62.1,"3,862,627","8,517"
2383 台光電,2017/04/26,113,"318,987","5,197"
2385 群光,2017/04/26,78,"717,033","1,019"
2387 精元,2017/04/26,19.25,"263,210",365
2388 威盛,2017/04/26,10.75,"493,303",393
2390 云辰,2017/04/26,13.7,"215,303",477
2392 正崴,2017/04/26,39.2,"512,326","1,005"
2393 億光,2017/04/26,47.45,"440,658","1,354"
23935 億光五,2017/04/26,101.75,"30,483",97
23936 億光六,2017/04/26,99.65,"46,066",144
2395 研華,2017/04/26,243,"633,254","1,098"
2397 友通,2017/04/26,55,"114,839",243
2399 映泰,2017/04/26,12.15,"178,100","11,371"
2401 凌陽,2017/04/26,11.95,"591,994","1,282"
2402 毅嘉,2017/04/26,21.15,"337,785","2,850"
24022 毅嘉二,2017/04/26,100.1,"20,000",20
2404 漢唐,2017/04/26,65.1,"238,233","1,382"
2405 浩鑫,2017/04/26,8.41,"345,427","1,858"
2406 國碩,2017/04/26,21,"338,924","1,733"
240602 國碩E2,2017/04/26,118,996,0
24063 國碩三,2017/04/26,109.5,"1,931",0
2408 南亞科,2017/04/26,48.15,"2,748,565","17,067"
2409 友達,2017/04/26,12.7,"9,624,245","61,189"
2412 中華電,2017/04/26,103,"7,757,446","10,065"
2413 環科,2017/04/26,11.5,"127,359",145
2414 精技,2017/04/26,18.2,"161,735",73
2415 錩新,2017/04/26,33.65,"91,077","1,386"
2417 圓剛,2017/04/26,10.45,"192,892",297
2419 仲琦,2017/04/26,22.05,"228,368","2,980"
24194 仲琦四,2017/04/26,115,"4,582",60
2420 新巨,2017/04/26,37.85,"152,648",258
2421 建準,2017/04/26,32,"250,929","2,729"
2423 固緯,2017/04/26,21.15,"145,047",135
2424 隴華,2017/04/26,31.1,"30,000",0
2425 承啟,2017/04/26,18.1,"109,248",177
2426 鼎元,2017/04/26,14.15,"293,658","13,793"
24268 鼎元八,2017/04/26,121.95,773,13
2427 三商電,2017/04/26,8.1,"187,314",104
2428 興勤,2017/04/26,65.8,"128,112",466
2429 銘旺科,2017/04/26,12.5,"36,800",2
2430 燦坤,2017/04/26,29.2,"167,463",392
2431 聯昌,2017/04/26,14.8,"110,927",422
2433 互盛電,2017/04/26,40.5,"144,496",65
2434 統懋,2017/04/26,5.58,"110,677",29
2436 偉詮電,2017/04/26,27.6,"222,600","6,406"
2437 旺詮,2017/04/26,59,"69,195",354
24371 旺詮一,2017/04/26,124.3,"6,391",33
2438 翔耀,2017/04/26,8.98,"95,215",14
2439 美律,2017/04/26,166.5,"193,823","6,834"
24391 美律一,2017/04/26,149.6,"6,955",470
2440 太空梭,2017/04/26,9.87,"139,117",18
2441 超豐,2017/04/26,41.95,"568,845",610
2442 新美齊,2017/04/26,6.71,"239,850",346
2443 新利虹,2017/04/26,6.19,"145,687",32
2444 友旺,2017/04/26,15.7,"85,437","1,155"
24442 友旺二,2017/04/26,110,"3,000",0
2448 晶電,2017/04/26,29.85,"1,091,549","28,518"
2449 京元電子,2017/04/26,27.15,"1,171,173","23,102"
2450 神腦,2017/04/26,52.4,"258,252",64
2451 創見,2017/04/26,104,"430,761","2,092"
2453 凌群,2017/04/26,12.55,"100,000",244
2454 聯發科,2017/04/26,213.5,"1,582,111","5,797"
2455 全新,2017/04/26,55.8,"184,905","1,194"
2456 奇力新,2017/04/26,80.5,"133,898","2,936"
24564 奇力新四,2017/04/26,119,"8,117",102
2457 飛宏,2017/04/26,15.55,"337,688","19,860"
24571 飛宏一,2017/04/26,99.7,"10,849",18
2458 義隆,2017/04/26,40.95,"434,114","11,323"
2459 敦吉,2017/04/26,41.9,"107,300",151
2460 建通,2017/04/26,12.9,"169,200",716
2461 光群雷,2017/04/26,15.7,"133,882",518
24614 光群雷四,2017/04/26,107,"2,950",0
24615 光群雷五,2017/04/26,105,"1,828",0
2462 良得電,2017/04/26,22,"142,484",38
2464 盟立,2017/04/26,40.6,"191,697",894
2465 麗臺,2017/04/26,5.72,"107,174",112
2466 冠西電,2017/04/26,38.7,"156,307",105
24662 冠西電二,2017/04/26,110.5,"2,000",0
2467 志聖,2017/04/26,19.65,"158,744",251
2468 華經,2017/04/26,11.45,"69,961",15
2471 資通,2017/04/26,16.65,"47,253",119
2472 立隆電,2017/04/26,42.75,"131,194","1,424"
2474 可成,2017/04/26,310.5,"770,391","7,706"
2475 華映,2017/04/26,1.38,"6,479,454","2,134"
2476 鉅祥,2017/04/26,25.65,"182,376",85
2477 美隆電,2017/04/26,19.8,"238,815",721
2478 大毅,2017/04/26,22.9,"187,859",463
24781 大毅一,2017/04/26,116,762,0
2480 敦陽科,2017/04/26,30.8,"132,950",144
2481 強茂,2017/04/26,17.1,"369,794",767
2482 連宇,2017/04/26,13.55,"62,072",72
2483 百容,2017/04/26,18.95,"110,618",145
2484 希華,2017/04/26,21.5,"159,421","9,609"
2485 兆赫,2017/04/26,32.05,"317,689","2,267"
2486 一詮,2017/04/26,9.15,"205,254",106
2488 漢平,2017/04/26,46.2,"79,999","3,916"
2489 瑞軒,2017/04/26,21.7,"834,362","1,907"
2491 吉祥全,2017/04/26,6.99,"76,008",18
2492 華新科,2017/04/26,58.6,"518,000","6,086"
2493 揚博,2017/04/26,28.15,"114,437",221
2495 普安,2017/04/26,16.6,"279,815",401
2496 卓越,2017/04/26,275,"15,760",113
2497 怡利電,2017/04/26,34.8,"118,798",320
2498 宏達電,2017/04/26,71.6,"821,904","3,573"
2499 東貝,2017/04/26,13.15,"373,512","3,065"
2501 國建,2017/04/26,20.6,"1,159,561",922
2504 國產,2017/04/26,8.17,"1,428,000",902
2504R 國產甲,2017/04/26,33.3,0,0
2505 國揚,2017/04/26,13.85,"576,582","1,324"
2506 太設,2017/04/26,11.1,"387,000",87
2509 全坤建,2017/04/26,18.2,"151,752",62
2511 太子,2017/04/26,11.95,"1,623,326","1,023"
2514 龍邦,2017/04/26,16.9,"499,053",250
2515 中工,2017/04/26,6.23,"1,530,899","2,027"
25152 中工二,2017/04/26,100.3,329,0
2516 新建,2017/04/26,7.12,"226,278",241
2520 冠德,2017/04/26,19.5,"503,791","3,996"
2524 京城,2017/04/26,23.95,"384,004",73
2527 宏璟,2017/04/26,21,"270,306",246
2528 皇普,2017/04/26,8.75,"127,401",15
2530 華建,2017/04/26,14.45,"270,752",484
2534 宏盛,2017/04/26,19.45,"589,091",333
2535 達欣工,2017/04/26,19.4,"231,407",514
25352 達欣工二,2017/04/26,101,"1,766",0
25353 達欣工三,2017/04/26,98,214,0
25354 達欣工四,2017/04/26,102,"7,302",94
2536 宏普,2017/04/26,23.8,"332,808",170
2537 聯上發,2017/04/26,9.44,"288,997",633
2538 基泰,2017/04/26,10.8,"438,448","1,033"
25383 基泰三,2017/04/26,104.5,"9,860",0
2539 櫻花建,2017/04/26,27.7,"343,638",24
2540 愛山林,2017/04/26,24.25,"146,600",1
2542 興富發,2017/04/26,50.4,"1,166,626","3,373"
2543 皇昌,2017/04/26,9.15,"241,983",2
2545 皇翔,2017/04/26,43.85,"327,734",458
2546 根基,2017/04/26,18.95,"106,035",97
2547 日勝生,2017/04/26,15.35,"894,419","6,448"
2548 華固,2017/04/26,69.5,"276,812",996
2596 綠意,2017/04/26,19.3,"97,381",339
25962 綠意二,2017/04/26,101.95,"1,202",0
2597 潤弘,2017/04/26,44.2,"135,000",45
2599 樂揚,2017/04/26,15,"99,906",7
2601 益航,2017/04/26,7.81,"630,883",958
2603 長榮,2017/04/26,13.7,"3,512,355","5,426"
2605 新興,2017/04/26,21.2,"568,304",696
2606 裕民,2017/04/26,29.95,"845,055",867
2607 榮運,2017/04/26,13.85,"1,067,141",559
2608 大榮,2017/04/26,41.4,"467,000",38
2609 陽明,2017/04/26,6.15,"3,165,770",0
26094 陽明四,2017/04/26,98.7,"1,492",0
2610 華航,2017/04/26,9.4,"5,470,890","7,787"
26105 華航五,2017/04/26,101.85,"16,970",0
2611 志信,2017/04/26,6.93,"177,994",34
2612 中航,2017/04/26,28.8,"197,484",85
2613 中櫃,2017/04/26,13.45,"121,003",48
26131 中櫃一,2017/04/26,107,"1,500",0
26132 中櫃二,2017/04/26,103,"1,500",0
2614 東森,2017/04/26,9.91,"695,987","3,123"
2615 萬海,2017/04/26,16.8,"2,218,297",821
2616 山隆,2017/04/26,32.75,"127,242",297
26163 山隆三,2017/04/26,154,"1,989",8
2617 台航,2017/04/26,12.7,"417,294",161
2618 長榮航,2017/04/26,15,"4,051,892","4,121"
2630 亞航,2017/04/26,33.2,"107,829",8
2633 台灣高鐵,2017/04/26,22.95,"5,628,293","4,970"
2634 漢翔,2017/04/26,37.05,"908,261","3,320"
2636 台驊投控,2017/04/26,21.45,"118,565",991
26363 台驊三,2017/04/26,102.2,"2,995",0
2637 慧洋-KY,2017/04/26,32.8,"556,864",519
2640 大車隊,2017/04/26,47.5,"46,435",34
2641 正德,2017/04/26,7.31,"185,011","1,763"
26411 正德一,2017/04/26,103.05,"2,381",0
26412 正德二,2017/04/26,104,378,0
2642 宅配通,2017/04/26,23.6,"95,467",46
2643 捷迅,2017/04/26,43,"26,230",50
2701 萬企,2017/04/26,14,"417,884",24
2702 華園,2017/04/26,16.15,"98,366",17
2704 國賓,2017/04/26,23.5,"366,923",50
2705 六福,2017/04/26,8.05,"339,157",120
2706 第一店,2017/04/26,17.2,"450,483",58
2707 晶華,2017/04/26,156.5,"126,745",184
27071 晶華一,2017/04/26,98.2,679,0
27072 晶華二,2017/04/26,100.55,"15,000",0
2712 遠雄來,2017/04/26,25.7,"105,000",6
2718 晶悅,2017/04/26,26.4,"22,576",0
2719 燦星旅,2017/04/26,11.8,"36,292",14
2720 和昇,2017/04/26,13.06,"52,000",101
2721 楷捷-KY,2017/04/26,10.7,"104,550",44
2722 夏都,2017/04/26,39,"102,127",4
2723 美食-KY,2017/04/26,306,"148,176",302
2724 富驛-KY,2017/04/26,5.1,"68,172",1
2726 雅茗-KY,2017/04/26,80,"30,425",563
27261 雅茗一KY,2017/04/26,176,"1,848",23
2727 王品,2017/04/26,146,"76,987",246
2729 瓦城,2017/04/26,228,"23,266",34
2730 美麗信,2017/04/26,7.67,"37,625",5
2731 雄獅,2017/04/26,89.6,"70,000",57
2732 六角,2017/04/26,81.2,"33,444",25
27321 六角一,2017/04/26,137,"2,124",0
2733 維格,2017/04/26,45.6,"24,096",71
2734 易飛網,2017/04/26,14.2,"30,259",4
27341 易飛網一,2017/04/26,102,"3,000",0
2736 高野,2017/04/26,19.8,"48,992",38
2738 MHG-KY,2017/04/26,19.5,"67,179",0
2739 寒舍,2017/04/26,35.7,"111,526",66
2740 天蔥,2017/04/26,26,"15,978",23
2741 老四川,2017/04/26,70,"18,559",0
2743 山富,2017/04/26,13.99,"28,025",8
2745 五福,2017/04/26,29.73,"25,435",2
2748 雲品,2017/04/26,56.7,"65,637",43
2749 欣恆美,2017/04/26,31.35,"20,800",254
2801 彰銀,2017/04/26,17.6,"8,964,762","8,756"
2809 京城銀,2017/04/26,29.2,"1,151,234",599
2812 台中銀,2017/04/26,9.9,"3,238,130","6,131"
2816 旺旺保,2017/04/26,13.9,"212,960",127
2820 華票,2017/04/26,14.8,"1,342,960","8,171"
2823 中壽,2017/04/26,28.75,"3,473,760","9,858"
2832 台產,2017/04/26,19.05,"362,200",84
2834 臺企銀,2017/04/26,8.35,"5,968,894","4,450"
2836 高雄銀,2017/04/26,9.65,"1,003,223",712
2838 聯邦銀,2017/04/26,9.11,"2,605,152",201
2841 台開,2017/04/26,11.55,"760,784","3,500"
28411 台開一,2017/04/26,113,"1,999",0
2845 遠東銀,2017/04/26,9.5,"3,111,367","1,059"
2849 安泰銀,2017/04/26,13.2,"1,679,677",74
2850 新產,2017/04/26,25.55,"315,963",118
2851 中再保,2017/04/26,14.4,"562,275",5
2852 第一保,2017/04/26,13.2,"301,163",51
2855 統一證,2017/04/26,13.5,"1,335,665",818
2856 元富證,2017/04/26,8.48,"1,599,609",702
2867 三商壽,2017/04/26,15.45,"1,667,087","1,328"
2880 華南金,2017/04/26,16.8,"10,520,495","13,762"
2881 富邦金,2017/04/26,47,"10,233,603","38,542"
2881A 富邦特,2017/04/26,63,"600,000",124
2882 國泰金,2017/04/26,48.6,"12,563,210","14,476"
2882A 國泰特,2017/04/26,61.5,"833,300",143
2883 開發金,2017/04/26,8.32,"14,975,742","33,005"
2884 玉山金,2017/04/26,18.45,"9,465,400","20,692"
2885 元大金,2017/04/26,12.95,"11,998,647","21,699"
2886 兆豐金,2017/04/26,24.55,"13,599,823","22,953"
288602 兆豐金E2,2017/04/26,101.85,"58,000",5
2887 台新金,2017/04/26,12.5,"9,570,327","15,330"
2887E 台新戊特,2017/04/26,52,"500,000",745
2888 新光金,2017/04/26,8.15,"10,228,144","17,661"
28884 新光金三,2017/04/26,101.3,"50,000",23
2889 國票金,2017/04/26,9.28,"2,746,074","3,307"
2890 永豐金,2017/04/26,9.29,"10,676,379","17,653"
2891 中信金,2017/04/26,18.8,"19,496,989","50,932"
2892 第一金,2017/04/26,18.75,"11,976,856","23,522"
2897 王道銀行,2017/04/26,9.21,"2,390,506","1,338"
2901 欣欣,2017/04/26,24,"73,043",4
2903 遠百,2017/04/26,16.1,"1,416,940",795
2904 匯僑,2017/04/26,23.4,"69,034",23
2905 三商,2017/04/26,23.7,"715,394",346
2906 高林,2017/04/26,11.8,"211,981",49
2908 特力,2017/04/26,19.95,"509,887",419
2910 統領,2017/04/26,28.55,"208,725",2
2911 麗嬰房,2017/04/26,10.8,"204,324",153
2912 統一超,2017/04/26,268.5,"1,039,622","2,141"
2913 農林,2017/04/26,16.5,"770,000","1,176"
2915 潤泰全,2017/04/26,49.6,"941,434","10,476"
2916 滿心,2017/04/26,16.05,"54,626",10
2923 鼎固-KY,2017/04/26,20.8,"1,740,296",66
2924 東凌-KY,2017/04/26,54.6,"34,005",1
29242 東凌二KY,2017/04/26,101.35,"1,500",0
29243 東凌三KY,2017/04/26,100.2,"1,000",0
2926 誠品生活,2017/04/26,145.5,"47,389",50
2928 紅馬-KY,2017/04/26,132,"47,301",270
2929 淘帝-KY,2017/04/26,100,"70,276",244
2936 客思達-KY,2017/04/26,44.9,"76,555",83
2937 集雅社,2017/04/26,33,"30,000",15
2938 床的世界,2017/04/26,46.6,"19,000",0
3002 歐格,2017/04/26,11.95,"102,000",167
3003 健和興,2017/04/26,46.75,"155,654","1,093"
3004 豐達科,2017/04/26,49,"52,647",21
3005 神基,2017/04/26,39,"570,194","2,133"
3006 晶豪科,2017/04/26,42.9,"283,266","16,263"
3008 大立光,2017/04/26,"5,000.00","134,140",509
3010 華立,2017/04/26,49.4,"231,390",70
30102 華立二,2017/04/26,102.9,"10,000",78
3011 今皓,2017/04/26,8.41,"112,719",227
3013 晟銘電,2017/04/26,21.75,"169,935","2,406"
3014 聯陽,2017/04/26,35.05,"157,874",753
3015 全漢,2017/04/26,24,"192,261",122
3016 嘉晶,2017/04/26,23.05,"244,401","3,739"
3017 奇鋐,2017/04/26,24.95,"353,310","1,362"
3018 同開,2017/04/26,37.8,"62,454","4,358"
30181 同開一,2017/04/26,199,415,48
30182 同開二,2017/04/26,156,2,0
3019 亞光,2017/04/26,56.5,"281,083","20,662"
3021 鴻名,2017/04/26,13.2,"95,813",269
3022 威強電,2017/04/26,45.7,"328,314",472
3023 信邦,2017/04/26,74.4,"225,416",414
3024 憶聲,2017/04/26,10.3,"277,157","1,544"
3025 星通,2017/04/26,12.95,"70,920",928
3026 禾伸堂,2017/04/26,42.45,"224,215","5,369"
3027 盛達,2017/04/26,12.6,"97,634",102
3028 增你強,2017/04/26,18.5,"213,824",159
3029 零壹,2017/04/26,18.3,"122,241",309
30292 零壹二,2017/04/26,118,134,0
3030 德律,2017/04/26,40.4,"236,216",205
3031 佰鴻,2017/04/26,17.1,"186,674","3,987"
3032 偉訓,2017/04/26,41.3,"113,285",578
3033 威健,2017/04/26,17.4,"323,009",218
30334 威健四,2017/04/26,105,"2,000",5
3034 聯詠,2017/04/26,116,"608,511","2,505"
3035 智原,2017/04/26,37.7,"248,550","4,826"
3036 文曄,2017/04/26,43.95,"475,702","1,185"
